,index,ï»¿,author,category,total_followers,total_following,number_posts,shortcode,timestamp,Date,time,likes,comments,engagement,average_engagement,caption,text,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10,Tag_11,all_hashtags,neg,neu,pos,compound
47,47,47,thesmokingtire,Automotive,291290,1116,5956,CSuPpijrtbG,1629304342,8/18/2021,4:32:22 PM,1504,0,0.516323938,1.428988293,"Photo by Matt Farah on August 18, 2021. May be an image of Ã¢â¬Å½car, outdoors and Ã¢â¬Å½text that says 'Ã¢â¬Å½ÃÂ± TOYOTA GR86 DID THEY RUIN IT? TSTÃ¢â¬Å½'Ã¢â¬Å½Ã¢â¬Å½.",My review of the Toyota GR86 is up This car had big shoes to fill Theres great risk when a car company updates a legend ask BMW The last 86BRZFRS was fun but flawed A lot has been done to address its shortcomings Theres so much to cover youll just have to watch the videoLink in bio,,,,,,,,,,,,",,,,,,,,,,",0.027,0.891,0.082,0.4854
48,48,48,hudabeauty,Beauty,49193547,889,1536,CSvz19DldEw,1629356873,8/19/2021,7:07:53 AM,100917,2518,0.210261317,0.118689517,"My loves, there is SO much going on the world right now and itÃ¢â¬â¢s so heartbreaking to see. I know how hard it is when you feel that youÃ¢â¬â¢re unable to make a difference, but just spreading awareness by sharing content can make a huge impact as well as helping charities out if youÃ¢â¬â¢re able to. Please swipe through and share with your friends!ÃÂ #savelebanonÃÂ #saveafghanistanÃÂ #haitiearthquakeÃÂ #soscuba #algeriaisburning
Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬
Please comment below & tag ways people can help my loves.
Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬",Repost hudaMy loves there is SO much going on the world right now and its so heartbreaking to see I know how hard it is when you feel that youre unable to make a difference but just spreading awareness by sharing content can make a huge impact as well as helping charities out if youre able to Please swipe through and share with your friendssavelebanonÂ saveafghanistanÂ haitiearthquakeÂ soscuba algeriaisburningÂ Â Â Â Â Â Â Â Â Please comment below  tag ways people can help my lovesÂ Â Â Â Â Â Â Â Â ThanksÂ kuvrd for inspiring this post with your amazing roundup,,,,,,,,,,,,",,,,,,,,,,",0.031,0.623,0.345,0.9893
49,49,49,hudabeauty,Beauty,49193547,889,1536,CSuRKqeJ1Di,1629305274,8/18/2021,4:47:54 PM,24910,307,0.051260788,0.118689517,,Stunning MUA donnidavy unleashing her wild side with WildObsessions in Chameleon  Jaguar  Versatile super buildable fiercely pigmented shades  creamy AF texturesÂ Â Â Â Â Â Â Â Â repost donnidavyBeen having so much fun playing w hudabeautys gorgeous new Wild Obsessions palettes Chameleon  Jaguar Topped off the look w my Donni x face_lace decals in SPIKED,WildObsessions,,,,,,,,,,,"WildObsessions,,,,,,,,,,",0.033,0.689,0.278,0.9354
50,50,50,hudabeauty,Beauty,49193547,889,1536,CSuQY0iln1a,1629304946,8/18/2021,4:42:26 PM,25341,255,0.052031215,0.118689517,,Maximum control super EASY  precise application with LIFE LINER  QUICK N EASY Have you tried it yet my loves LIFE LINER  QUICK N EASY Liquid LinerLasts all daySuper fine tip 003mm for maximum controlConstant flow of inkShade in Very Vanta aka ultrablack  matteWaterproofSmudgeproof transferproof flakeproofSO easy to removeDoesnt bleedPerfect for beginners,,,,,,,,,,,,",,,,,,,,,,",0,0.644,0.356,0.9726
51,51,51,hudabeauty,Beauty,49193547,889,1536,CSuPeEFFoob,1629304598,8/18/2021,4:36:38 PM,20029,162,0.041044001,0.118689517,,Which eyeliner style is your goto Classic Winged Feline or Graphic Gorg iamfoxxy using Life Liner Quick N Easy repost iamfoxxy NEW FAVORITE EYELINER ALERT Quickn Easy there isnt a better fitting name to be honest Glides super easily the formula doesnt bleed into your skin which makes it perfect for sharp lines and the tip is sooo tiny and sooo precise So far pretty happy with my first impressions and will keep you updated once I use it several times ,,,,,,,,,,,,",,,,,,,,,,",0.023,0.638,0.339,0.9858
52,52,52,hudabeauty,Beauty,49193547,889,1536,CSuIGUiF0RP,1629300384,8/18/2021,3:26:24 PM,41530,658,0.085759216,0.118689517,,Unleash your WILD side with Jaguar Chameleon WILDOBSESSIONS Whether you want a soft pop of color or a WILD smokey eye weve got you covered day or night,WILDOBSESSIONS,,,,,,,,,,,"WILDOBSESSIONS,,,,,,,,,,",0,0.951,0.049,0.0772
53,53,53,hudabeauty,Beauty,49193547,889,1536,CSuGPHDlI3E,1629299806,8/18/2021,3:16:46 PM,42719,494,0.087842822,0.118689517,,Feeling fierce with Jaguar Versatile buildable fiercely pigmented shades  creamy AF textures WILDOBSESSIONS,WILDOBSESSIONS,,,,,,,,,,,"WILDOBSESSIONS,,,,,,,,,,",0,0.889,0.111,0.128
54,54,54,hudabeauty,Beauty,49193547,889,1536,CSuFbTmlTY9,1629299118,8/18/2021,3:05:18 PM,38802,302,0.079490101,0.118689517,,Gorg ashleykaylamakeup wearing Chameleon WildObsessions  Tag a bestie who loves a colorful eye glam,WildObsessions,,,,,,,,,,,"WildObsessions,,,,,,,,,,",0,0.748,0.252,0.5719
55,55,55,hudabeauty,Beauty,49193547,889,1536,CSrvyfKh04r,1629220722,8/17/2021,5:18:42 PM,42711,348,0.087529773,0.118689517,,Leading liners vs Life Liner Quick N Easy Now available at hudabeautyshop sephora asos cultbeauty feelunique naimies bootsuk harrods netaporter theofficialselfridges kohls and all other retailers,,,,,,,,,,,,",,,,,,,,,,",0,0.892,0.108,0.4404
56,56,56,hudabeauty,Beauty,49193547,889,1536,CSrvbMjB9Iq,1629220431,8/17/2021,5:13:51 PM,50895,258,0.10398315,0.118689517,,Thanks for your amazing review roseandben  Lining  defining made EASY with LIFE LINER QUICK N EASY repostThis one definitely gives you major precision The tinier the tip of the liner is the more control you have  This one would be great for graphic eyes  Also great for baby wings too I really like it  roseandbenÂ Â Â Â Â Â Â Â Â LIFE LINER  QUICK N EASY Liquid LinerLasts all daySuper fine tip 003mm for maximum controlConstant flow of inkShade in Very Vanta aka ultrablack  matteWaterproofSmudgeproof transferproof flakeproofSO easy to removeDoesnt bleedPerfect for beginners,repost,,,,,,,,,,,"repost,,,,,,,,,,",0,0.67,0.33,0.9882
57,57,57,hudabeauty,Beauty,49193547,889,1536,CSruyhTBmB1,1629220177,8/17/2021,5:09:37 PM,203256,1482,0.416188733,0.118689517,,Feeling green with PYTHON  Versatile buildable fiercely pigmented shades  creamy AF textures WILDOBSESSIONS  Matte Basics Melted Shadows Black  White is now available on hudabeautycom ,WILDOBSESSIONS,,,,,,,,,,,"WILDOBSESSIONS,,,,,,,,,,",0,0.939,0.061,0.128
58,58,58,hudabeauty,Beauty,49193547,889,1536,CSruWbChbZM,1629219879,8/17/2021,5:04:39 PM,77165,623,0.158126431,0.118689517,,Drop some  if youre getting WILD with this Python inspired look WILDOBSESSIONS officially launched everywhere Watch till the end Hair by domseeley,WILDOBSESSIONS,,,,,,,,,,,"WILDOBSESSIONS,,,,,,,,,,",0.081,0.736,0.182,0.3818
59,59,59,hudabeauty,Beauty,49193547,889,1536,CSruK92hfre,1629219681,8/17/2021,5:01:21 PM,24592,377,0.050756657,0.118689517,"#hudabeauty #eyeshadow #palette Which animal will you be channelling?Ã°Å¸âÂ¥PYTHON JAGUAR CHAMELEON TIGER 
Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬
#WILDOBSESSIONS are now available at hudabeautyshop, sephora, asos, cultbeauty, feelunique, naimies bootsuk, harrods, netaporter, theofficialselfridges, kohls, and all other retailers
Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬Ã¢Â â¬
Our Tiger Obsessions Palette is exclusive to hudabeauty.com, #ASOS, #SephoraEurope & #SephoraNorthAsia",Which animal will you be channellingPYTHON  JAGUAR CHAMELEON TIGER Â Â Â Â Â Â Â Â Â WILDOBSESSIONS are now available at hudabeautyshop sephora asos cultbeauty feelunique naimies bootsuk harrods netaporter theofficialselfridges kohls and all other retailers Â Â Â Â Â Â Â Â Â Our Tiger Obsessions Palette is exclusive to hudabeautycom ASOS SephoraEurope  SephoraNorthAsia,,,,,,,,,,,,",,,,,,,,,,",0.046,0.918,0.036,-0.1027
60,60,60,jamescharles,Beauty,25090038,259,1001,CSsFa_1JbNb,1629231871,8/17/2021,8:24:31 PM,934457,33676,3.858635049,4.969551727,"Photo by James Charles on August 17, 2021. May be an image of 1 person.",u made me hate this city,,,,,,,,,,,,",,,,,,,,,,",0.481,0.519,0,-0.5719
61,61,61,jamescharles,Beauty,25090038,259,1001,CSfZbAZJL3N,1628806150,8/12/2021,10:09:10 PM,803758,25859,3.30655936,4.969551727,"Photo by James Charles in Malibu, California with @jacquemus. May be an image of 1 person, standing and outdoors.",next to u in malibu,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
62,62,62,jamescharles,Beauty,25090038,259,1001,CSKl0pthPg1,1628108008,8/4/2021,8:13:28 PM,1315203,135652,5.782593873,4.969551727,"Photo by James Charles on August 04, 2021. May be a closeup of 1 person and text that says 'SERRE'.",red your mind ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
63,63,63,jamescharles,Beauty,25090038,259,1001,CSARdg_p7GE,1627761789,7/31/2021,8:03:09 PM,1731218,109628,7.336959793,4.969551727,"Photo by James Charles on July 31, 2021. May be an image of 1 person.",no cappuccino I like these photos a latte ,,,,,,,,,,,,",,,,,,,,,,",0.253,0.46,0.287,0.0772
64,64,64,jamescharles,Beauty,25090038,259,1001,CRxI2nepStq,1627254005,7/25/2021,11:00:05 PM,587206,4883,2.359856928,4.969551727,,,,,,,,,,,,,,",,,,,,,,,,",0.253,0.46,0.287,0.0772
65,65,65,jamescharles,Beauty,25090038,259,1001,CRrnSwxJ7pR,1627068592,7/23/2021,7:29:52 PM,1435007,5493,5.741322512,4.969551727,"Photo by James Charles on July 23, 2021. May be a closeup of 1 person.",falling stars  just posted a new video showing my secrets to getting a viral instagram photo go check it out look inspired by ageofaquaria,,,,,,,,,,,,",,,,,,,,,,",0.065,0.806,0.129,0.3818
66,66,66,jamescharles,Beauty,25090038,259,1001,CRmmQbpJPUT,1626900276,7/21/2021,8:44:36 PM,1024031,8717,4.11616754,4.969551727,"Photo by James Charles on July 21, 2021. May be an image of 1 person.",rule number one never be number two,,,,,,,,,,,,",,,,,,,,,,",0,0.658,0.342,0.1531
67,67,67,jamescharles,Beauty,25090038,259,1001,CRZX2X7JZYn,1626456524,7/16/2021,5:28:44 PM,668418,4937,2.683754405,4.969551727,,just a cute little makeup transition  whats your favorite color,makeup ,transition,,,,,,,,,,"makeup ,transition,,,,,,,,,",0,0.538,0.462,0.7184
68,68,68,jamescharles,Beauty,25090038,259,1001,CRXWc1Ypa-q,1626388673,7/15/2021,10:37:53 PM,1217503,5954,4.87626603,4.969551727,"Photo by James Charles on July 15, 2021. May be an image of 1 person, standing and indoor.",game over ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
69,69,69,jamescharles,Beauty,25090038,259,1001,CRNCwg1pnUb,1626042804,7/11/2021,10:33:24 PM,1221324,17208,4.936349638,4.969551727,"Photo by James Charles on July 11, 2021. May be an image of 1 person.",no cap ,,,,,,,,,,,,",,,,,,,,,,",0.688,0.312,0,-0.296
70,70,70,jamescharles,Beauty,25090038,259,1001,CRHqZRlpzhi,1625862258,7/9/2021,8:24:18 PM,1348862,6541,5.402156027,4.969551727,"Photo by James Charles on July 09, 2021. May be an image of 1 person and standing.",beep beep is that my bessie in a tessie  whats your go to gas station snack,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
71,71,71,jamescharles,Beauty,25090038,259,1001,CQ1jk1MJFDJ,1625254703,7/2/2021,7:38:23 PM,2292809,24005,9.233999566,4.969551727,"Photo shared by James Charles on July 02, 2021 tagging @theballerinabridemua, and @lunarbeauty. May be an image of 1 person.",New Beginnings  Hi sisters long time no see I wanted to let you guys know that I uploaded a new video today Its an open and honest conversation where I talk about literally everything from the past couple of months Its a long one but one of the most important videos Ive ever filmed so Id really appreciate if you checked it out ,,,,,,,,,,,,",,,,,,,,,,",0.025,0.834,0.142,0.8212
72,72,72,rclbeauty101,Beauty,3454095,175,1411,CSAKhlCpJc1,1627758152,7/31/2021,7:02:32 PM,37435,827,1.107728653,1.259256525,"Photo shared by Rachel Levin on July 31, 2021 tagging @kslamclothing. May be an image of 1 person, standing, car and outdoors.",I will not lie this was not just a candid shot of me getting out of the car I did pose Outfit from kslamclothing ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
73,73,73,rclbeauty101,Beauty,3454095,175,1411,CRhkgFIJHcD,1626731584,7/19/2021,9:53:04 PM,18436,610,0.551403479,1.259256525,"Photo by Rachel Levin on July 19, 2021. May be an image of 1 person.",decides to get out more only does things that dont involve me leaving the car,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
74,74,74,rclbeauty101,Beauty,3454095,175,1411,CRcMaDkJ-dw,1626551179,7/17/2021,7:46:19 PM,27327,919,0.817753999,1.259256525,"Photo shared by Rachel Levin on July 17, 2021 tagging @milanka.bee. May be an image of 1 person, standing and outdoors.",Tell me why I was surprised that it was windy WHEN I LITERALLY DROVE TO A WIND TURBINE TO TAKE PICTURES HOW DO PEOPLE DO IT AT COACHELLA,,,,,,,,,,,,",,,,,,,,,,",0,0.927,0.073,0.2263
75,75,75,rclbeauty101,Beauty,3454095,175,1411,CRXIbRrpF7r,1626381320,7/15/2021,8:35:20 PM,76933,955,2.254946665,1.259256525,"Photo shared by Rachel Levin on July 15, 2021 tagging @milanka.bee, and @neyobambi. May be an image of 2 people.",I asked and Neyo said I could post this,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
76,76,76,rclbeauty101,Beauty,3454095,175,1411,CN0YKe7JcMY,1618772715,4/18/2021,7:05:15 PM,24870,534,0.735474849,1.259256525,"Photo shared by Rachel Levin on April 18, 2021 tagging @natalie_alonzo, and @reaganlinkartistry. May be an image of 2 people and braids.",A literal drunk stylist styled this fit but Im not mad about it,,,,,,,,,,,,",,,,,,,,,,",0.106,0.56,0.335,0.569
77,77,77,rclbeauty101,Beauty,3454095,175,1411,CNVrsTGpxYI,1617742766,4/6/2021,8:59:26 PM,16836,207,0.493414339,1.259256525,"Photo shared by Rachel Levin on April 06, 2021 tagging @eptm.us. May be an image of 1 person and standing.",You never realize how fast hair grows until you bleach it what color is your hair rn AND if you were gonna dye it what color would you choose,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
78,78,78,rclbeauty101,Beauty,3454095,175,1411,CNQgQJHJqEJ,1617568996,4/4/2021,8:43:16 PM,44191,781,1.301990825,1.259256525,"Photo shared by Rachel Levin on April 04, 2021 tagging @shotbyzach. May be an image of 1 person, standing and high-heeled shoes.",sees a tiktok of someone that says to take photos in a parking garage at night,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
79,79,79,rclbeauty101,Beauty,3454095,175,1411,CLsMDyFpKAG,1614202966,2/24/2021,9:42:46 PM,49873,549,1.459774557,1.259256525,"Photo shared by Rachel Levin on February 24, 2021 tagging @patrickchurchny, and @shotbyzach. May be an image of 1 person and standing.",BIRTHDAY GIRL What a life I love being able to experience life for so many years thats pretty cool,,,,,,,,,,,,",,,,,,,,,,",0,0.591,0.409,0.8658
80,80,80,rclbeauty101,Beauty,3454095,175,1411,CLSfO8YFuBW,1613340603,2/14/2021,10:10:03 PM,30721,493,0.903680993,1.259256525,"Photo by Rachel Levin on February 14, 2021. May be an image of 1 person and indoor.",So apparently sitting down for 1 year straight makes your back hurt THIS WAS NEWS TO ME  but I got the SKG F5 mini massage gun its light weight and has 3 speeds and a heating function and ugh its so good if you were looking for a massage gun bc youre single and have no one to give you back massages use the code Rachel20F5 to get 20 off the skgglobal massage gun SKG SKGF5 SKGF5massagegun SKGF5minimassagegun ad,SKG ,SKGF5 ,SKGF5massagegun ,SKGF5minimassagegun ,ad,,,,,,,"SKG ,SKGF5 ,SKGF5massagegun ,SKGF5minimassagegun ,ad,,,,,,",0.201,0.735,0.064,-0.9054
81,81,81,rclbeauty101,Beauty,3454095,175,1411,CJCGN06l1Sn,1608495649,12/20/2020,8:20:49 PM,67234,1549,1.991346503,1.259256525,"Photo shared by Rachel Levin on December 20, 2020 tagging @prixworkshop. May be an image of 1 person, hair, outerwear and outdoors.",So now that I successfully look good in 3 hair colors what color should I do next ,,,,,,,,,,,,",,,,,,,,,,",0,0.653,0.347,0.7479
82,82,82,rclbeauty101,Beauty,3454095,175,1411,CI4RSO2l72B,1608165908,12/17/2020,12:45:08 AM,76979,1144,2.261750183,1.259256525,"Photo shared by Rachel Levin on December 16, 2020 tagging @brandonrinxon, and @reaganlinkartistry. May be an image of 1 person, hair, outerwear and outdoors.",,,,,,,,,,,,,",,,,,,,,,,",0,0.653,0.347,0.7479
83,83,83,rclbeauty101,Beauty,3454095,175,1411,CHBeXdhJMT7,1604179789,10/31/2020,9:29:49 PM,40212,2336,1.231813254,1.259256525,"Photo shared by Rachel Levin on October 31, 2020 tagging @ruthie_davis, @zigman_official, @tylerglambert, and @augustaldridge_. May be an image of 1 person and outerwear.",I really went all out for halloween this year for someone that has no intentions of leaving the house what are you dressing up as,,,,,,,,,,,,",,,,,,,,,,",0.087,0.913,0,-0.296
84,84,84,glamlifeguru,Beauty,2272987,320,1275,CSZ9MlVpd1g,1628623614,8/10/2021,7:26:54 PM,12589,165,0.561111876,4.737220964,,Every favorite of mine for amazing skin Link is in my bio ,,,,,,,,,,,,",,,,,,,,,,",0,0.595,0.405,0.7783
85,85,85,glamlifeguru,Beauty,2272987,320,1275,CRzHF9ADj2d,1627320183,7/26/2021,5:23:03 PM,32328,315,1.436127879,4.737220964,,New Video Link is in my Bio ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
86,86,86,glamlifeguru,Beauty,2272987,320,1275,CRkoZq5jCvr,1626834988,7/21/2021,2:36:28 AM,19400,271,0.865425099,4.737220964,,Hot Product Alert  Im in love with the new Power Move Lipstick from bitebeauty Watch it swatched  tested Use code TATI at Checkout on BiteBeautycom to save 20 on everything bitebeautypartner powermovelipstick ,bitebeautypartner ,powermovelipstick,,,,,,,,,,"bitebeautypartner ,powermovelipstick,,,,,,,,,",0,0.751,0.249,0.8625
87,87,87,glamlifeguru,Beauty,2272987,320,1275,CRE7A5jD7E_,1625770308,7/8/2021,6:51:48 PM,63758,578,2.830460535,4.737220964,"Photo by Tati Westbrook on July 08, 2021. May be a closeup of 1 person.",New video on my channel Link in bio  rarebeauty,rarebeauty,,,,,,,,,,,"rarebeauty,,,,,,,,,,",0,1,0,0
88,88,88,glamlifeguru,Beauty,2272987,320,1275,CQUoXhmjPxD,1624149919,6/20/2021,12:45:19 AM,199013,3428,8.906386178,4.737220964,"Photo by Tati Westbrook on June 19, 2021. May be an image of 1 person.",,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
89,89,89,glamlifeguru,Beauty,2272987,320,1275,CQOyKQ3jxSs,1623953760,6/17/2021,6:16:00 PM,226171,19592,10.81233637,4.737220964,,Im Back ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
90,90,90,glamlifeguru,Beauty,2272987,320,1275,CAuLI0djNyn,1590647429,5/28/2020,6:30:29 AM,172824,35625,9.170707971,4.737220964,,XOs   by one of my favorite artists jamesarthur23 The Truth,,,,,,,,,,,,",,,,,,,,,,",0,0.602,0.398,0.6486
91,91,91,glamlifeguru,Beauty,2272987,320,1275,B_wMi73jtho,1588567652,5/4/2020,4:47:32 AM,51344,1280,2.31519142,4.737220964,,Yeah ummmm no See you tomorrow 10am pst  lets talk all about what Im currently NOT loving ,,,,,,,,,,,,",,,,,,,,,,",0.248,0.65,0.102,-0.4847
92,92,92,glamlifeguru,Beauty,2272987,320,1275,B_qCcqyjVIS,1588361014,5/1/2020,7:23:34 PM,185638,897,8.20660215,4.737220964,"Photo by Tati Westbrook on May 01, 2020. May be an image of 1 person.",I cant get over how much I love this nabfi_art ,,,,,,,,,,,,",,,,,,,,,,",0,0.625,0.375,0.6369
93,93,93,glamlifeguru,Beauty,2272987,320,1275,B_k1Q1LDto7,1588186329,4/29/2020,6:52:09 PM,145141,1746,6.46228949,4.737220964,"Photo by Tati Westbrook on April 29, 2020. May be an image of 1 person.",,,,,,,,,,,,,",,,,,,,,,,",0,0.625,0.375,0.6369
94,94,94,glamlifeguru,Beauty,2272987,320,1275,B--7TfRDoCQ,1586914428,4/15/2020,1:33:48 AM,92043,727,4.081413576,4.737220964,"Photo by Tati Westbrook on April 14, 2020. May be an image of 1 person.",Sunset ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
95,95,95,glamlifeguru,Beauty,2272987,320,1275,B-3VA13DG-b,1586659618,4/12/2020,2:46:58 AM,26826,418,1.198599024,4.737220964,,3 looks in one video testing Drugstore Eyeshadow one smash hit palette one that frustrated me to no end  Link is in Bio drugstoremakeup eyemakeup grwm,Eyeshadow,drugstoremakeup ,eyemakeup ,grwm,,,,,,,,"Eyeshadow,drugstoremakeup ,eyemakeup ,grwm,,,,,,,",0.196,0.804,0,-0.6808
96,96,96,Jaclynhill,Beauty,6661077,510,1603,CSuOYboAYIn,1629303678,8/18/2021,4:21:18 PM,425007,4858,6.453385841,3.787745835,"Photo shared by J A C L Y N Ã°Å¸ËÅ on August 18, 2021 tagging @farnumgrindtime. May be an image of 2 people, dog and indoor.",WE ARE OFFICIALLY MOVING IN TOGETHER  We are so excited to call it OUR HOME ,,,,,,,,,,,,",,,,,,,,,,",0,0.818,0.182,0.4795
97,97,97,Jaclynhill,Beauty,6661077,510,1603,CSnO5JyMPQh,1629069065,8/15/2021,11:11:05 PM,139395,3257,2.141575604,3.787745835,"Photo by J A C L Y N Ã°Å¸ËÅ in Cheese Heaven. May be an image of 1 person, standing and purse.",What is your biggest craving Mine is always cheese ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
98,98,98,Jaclynhill,Beauty,6661077,510,1603,CSVHK_RAaDt,1628461042,8/8/2021,10:17:22 PM,356841,7273,5.466293214,3.787745835,,Im here to remind you that you dont have to have an IG Baddie body to be a successful powerful  happy woman ,,,,,,,,,,,,",,,,,,,,,,",0,0.636,0.364,0.8834
99,99,99,Jaclynhill,Beauty,6661077,510,1603,CSPsWAilXfC,1628279326,8/6/2021,7:48:46 PM,212387,2239,3.222091563,3.787745835,,My boyfriend wins at life for the best Birthday cake ever ,,,,,,,,,,,,",,,,,,,,,,",0,0.533,0.467,0.836
100,100,100,Jaclynhill,Beauty,6661077,510,1603,CSIHSK6FTnk,1628024888,8/3/2021,9:08:08 PM,221035,1172,3.335901987,3.787745835,"Photo shared by J A C L Y N Ã°Å¸ËÅ on August 03, 2021 tagging @jaclynhillcosmetics. May be an image of 1 person and indoor.",A PHOTO DUMP IN HONOR OF ultabeauty believing in me  My core jaclynhillcosmetics line is fully restocked  available online  in select stores What a dream come true,,,,,,,,,,,,",,,,,,,,,,",0.101,0.635,0.264,0.6597
101,101,101,Jaclynhill,Beauty,6661077,510,1603,CRjvKrfDz12,1626804284,7/20/2021,6:04:44 PM,190748,4109,2.925307724,3.787745835,"Photo shared by J A C L Y N Ã°Å¸ËÅ on July 20, 2021 tagging @jaclynhillcosmetics. May be an image of 1 person, cake and balloon.",ITS MY BIRTHDAY And to celebrate I am launching 3 beautiful limited edition glosses jaclynhillcosmetics  Plus there is a new YouTube video on my channel,,,,,,,,,,,,",,,,,,,,,,",0.067,0.667,0.267,0.7717
102,102,102,Jaclynhill,Beauty,6661077,510,1603,CRPz-P2DnDH,1626135715,7/13/2021,12:21:55 AM,250479,4657,3.830251474,3.787745835,"Photo shared by J A C L Y N Ã°Å¸ËÅ on July 12, 2021 tagging @sashasamsonova, @lipsticknick, and @jaclynhillcosmetics. May be a closeup of 1 person.",TOMORROW IS THE DAY  My limited edition Summer Collection launches at 200PM EST Whos excited jaclynhillcosmetics ,,,,,,,,,,,,",,,,,,,,,,",0.104,0.765,0.131,0.128
103,103,103,Jaclynhill,Beauty,6661077,510,1603,CRFNKgmjoAw,1625779824,7/8/2021,9:30:24 PM,202868,34825,3.568386914,3.787745835,"Photo shared by J A C L Y N Ã°Å¸ËÅ on July 08, 2021 tagging @sashasamsonova, @lipsticknick, and @jaclynhillcosmetics. May be an image of 1 person and standing.",Whos ready for next Tuesday July 13th baby jaclynhillcosmetics,,,,,,,,,,,,",,,,,,,,,,",0,0.762,0.238,0.3612
104,104,104,Jaclynhill,Beauty,6661077,510,1603,CQ9I0ZCjMWx,1625509110,7/5/2021,6:18:30 PM,250008,3572,3.806891889,3.787745835,"Photo shared by J A C L Y N Ã°Å¸ËÅ on July 05, 2021 tagging @sashasamsonova, and @lipsticknick. May be a closeup of 1 person and pool.",713,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
105,105,105,Jaclynhill,Beauty,6661077,510,1603,CQ4EJcOjLNw,1625338889,7/3/2021,7:01:29 PM,328017,2105,4.955985346,3.787745835,"Photo shared by J A C L Y N Ã°Å¸ËÅ on July 03, 2021 tagging @farnumgrindtime. May be a closeup of 2 people.",I just wanted a good picture of my hair  makeup but farnumgrindtime had other plans,,,,,,,,,,,,",,,,,,,,,,",0,0.86,0.14,0.2382
106,106,106,Jaclynhill,Beauty,6661077,510,1603,CQeO-oVnRUa,1624473857,6/23/2021,6:44:17 PM,86261,1610,1.319171059,3.787745835,,My go to makeup look Im excited to show you my current go to look  play with my products,,,,,,,,,,,,",,,,,,,,,,",0,0.78,0.22,0.5859
107,107,107,Jaclynhill,Beauty,6661077,510,1603,CQUGcKMj7xb,1624132132,6/19/2021,7:48:52 PM,291459,3474,4.427707411,3.787745835,"Photo by J A C L Y N Ã°Å¸ËÅ on June 19, 2021. May be an image of 1 person and indoor.",Its been 2 weeks since I started an antiinflammatory diet due to inflammation in my face  body and I can not believe my results already My face has already slimmed out and Im currently wearing jeans that I couldnt get on 1 month ago More than anything I feel amazing So much more energy  I enjoy food more than ever when I get to cheat so cheers to being healthy  happy ,,,,,,,,,,,,",,,,,,,,,,",0.038,0.706,0.256,0.954
108,108,108,garyvee,Business,9166019,5615,6962,CS2ivLCMy5V,1629582785,8/21/2021,9:53:05 PM,24615,850,0.277819629,0.758852707,"Photo by Gary Vay-Ner-Chuk on August 21, 2021. May be an image of book and text that says '#1 NEW YORK TIMES BESTSELLING GARY VAYNERCHUK AUTHOR AND LEVERAGING TWELVE A HALF FOR INGREDIENTS THE BUSINESS NECESSARY EMOTIONAL SUCCESS'.",Dont get it twisted  this is gonna be the book  big news on this coming soon ,,,,,,,,,,,,",,,,,,,,,,",0,1,0,0
109,109,109,garyvee,Business,9166019,5615,6962,CS17uAQALn9,1629562447,8/21/2021,4:14:07 PM,29599,573,0.329172348,0.758852707,,GRATITUDE FOR WHAT YOU HAVE Versus COMPLAINING ABOUT WHAT YOU DONT HAVE,,,,,,,,,,,,",,,,,,,,,,",0.153,0.604,0.243,0.3612
110,110,110,garyvee,Business,9166019,5615,6962,CS0KgsvgmDM,1629503028,8/20/2021,11:43:48 PM,42001,964,0.46874221,0.758852707,, Youve asked for it you got it  another episode of OverRatedUnderRated is here,OverRatedUnderRated,,,,,,,,,,,"OverRatedUnderRated,,,,,,,,,,",0,1,0,0
